"","EmitterRS","cBaseRS","EBRS","hFE1M5V"
"1",14.62,226,7,128.4
"2",15.63,220,3.375,52.62
"3",14.62,217.4,6.375,113.9
"4",15,220,6,98.01
"5",14.5,226.5,7.625,139.9
"6",15.25,224.1,6,102.6
"7",16.12,220.5,3.375,48.14
"8",15.13,223.5,6.125,109.6
"9",15.5,217.6,5,82.68
"10",15.13,228.5,6.625,112.6
"11",15.5,230.2,5.75,97.52
"12",16.12,226.5,3.75,59.06
"13",15.13,226.6,6.125,111.8
"14",15.63,225.6,5.375,89.09
"15",15.38,234,8.875,171.9
"16",15.5,230,4,66.8
"17",14.25,224.3,8,157.1
"18",14.5,240.5,10.87,208.4
"19",14.62,223.7,7.375,133.4
